Date & Time,Latitude,Longitude,Depth,Magnitude,Lands,Country,Date,Time
5/19/2023 2:57,-23.13,170.86,20,7.7,"SOUTHEAST, OF, LOYALTY",ISLANDS,5/19/2023,02:57
7/16/2023 6:48,54.527,-160.842,30,7.2,ALASKA,PENINSULA,7/16/2023,06:48
6/15/2023 18:06,-23.02,-177.16,160,7.2,"SOUTH, OF, FIJI",ISLANDS,6/15/2023,18:06
11/8/2023 04:53,-6.286,129.558,10,7.1,BANDA,SEA,11/8/2023,04:53
8/28/2023 19:55,-6.831,116.566,514,7.1,BALI,SEA,8/28/2023,19:55
5/20/2023 1:51,-22.94,170.56,30,7.1,"SOUTHEAST, OF, LOYALTY",ISLANDS,5/20/2023,01:51
11/8/2023 04:52,-6.434,129.571,10,6.9,BANDA,SEA,11/8/2023,04:52
7/2/2023 10:27,-17.84,-175.051,224,6.9,TONGA,TONGA,7/2/2023,10:27
10/7/2023 08:40,-5.461,146.109,78,6.8,"EASTERN, NEW, GUINEA, REG.,",P.N.G.,10/7/2023,08:40
9/8/2023 22:11,31.058,-8.49,26,6.8,MOROCCO,MOROCCO,9/8/2023,22:11
5/21/2023 14:56,-43.41,39.33,10,6.8,"PRINCE, EDWARD, ISLANDS",REGION,5/21/2023,14:56
11/17/2023 8:14,5.644,125.096,70,6.7,"MINDANAO,",PHILIPPINES,11/17/2023,08:14
11/8/2023 13:02,-6.21,129.949,10,6.7,BANDA,SEA,11/8/2023,13:02
10/31/2023 12:33,-28.77,-71.478,23,6.7,"OFFSHORE, ATACAMA,",CHILE,10/31/2023,12:33
10/7/2023 08:34,-5.559,146.128,78,6.7,"EASTERN, NEW, GUINEA, REG.,",P.N.G.,10/7/2023,08:34
7/17/2023 3:05,-38.133,-70.344,190,6.7,"NEUQUEN,",ARGENTINA,7/17/2023,03:05
9/8/2023 09:09,-33.019,-178.565,32,6.6,"SOUTH, OF, KERMADEC",ISLANDS,9/8/2023,09:09
7/10/2023 20:28,20.031,-61.134,8,6.6,"NORTH, ATLANTIC",OCEAN,7/10/2023,20:28
5/25/2023 3:05,8.85,-77.14,10,6.6,"PANAMA-COLOMBIA, BORDER",REGION,5/25/2023,03:05
10/31/2023 11:10,-17.573,-178.984,548,6.5,FIJI,REGION,10/31/2023,11:10
8/16/2023 12:47,-13.894,167.189,193,6.5,VANUATU,VANUATU,8/16/2023,12:47
7/19/2023 0:22,12.839,-88.005,67,6.5,"OFFSHORE, EL",SALVADOR,7/19/2023,00:22
5/20/2023 2:09,-22.89,170.65,15,6.5,"SOUTHEAST, OF, LOYALTY",ISLANDS,5/20/2023,02:09
10/16/2023 11:35,52.525,-176.921,188,6.4,"ANDREANOF, ISLANDS,, ALEUTIAN",IS.,10/16/2023,11:35
10/4/2023 11:21,5.411,126.04,122,6.4,"MINDANAO,",PHILIPPINES,10/4/2023,11:21
7/26/2023 12:44,-14.752,167.896,41,6.4,VANUATU,VANUATU,7/26/2023,12:44
6/18/2023 20:30,23.32,-108.53,10,6.4,"GULF, OF",CALIFORNIA,6/18/2023,20:30
5/17/2023 23:02,15.13,-90.81,257,6.4,GUATEMALA,GUATEMALA,5/17/2023,23:02
10/15/2023 3:36,34.606,62.183,7,6.3,WESTERN,AFGHANISTAN,10/15/2023,03:36
10/11/2023 20:05,-52.07,139.768,10,6.3,"WEST, OF, MACQUARIE",ISLAND,10/11/2023,20:05
10/11/2023 00:41,34.598,62.069,10,6.3,WESTERN,AFGHANISTAN,10/11/2023,00:41
10/7/2023 07:12,34.621,61.911,12,6.3,WESTERN,AFGHANISTAN,10/7/2023,07:12
10/7/2023 06:41,34.615,61.971,12,6.3,WESTERN,AFGHANISTAN,10/7/2023,06:41
9/18/2023 13:21,26.512,125.259,178,6.3,"NORTHEAST, OF",TAIWAN,9/18/2023,13:21
9/12/2023 11:03,19.271,121.301,37,6.3,"BABUYAN, ISL, REGION,",PHILIPPINES,9/12/2023,11:03
7/14/2023 9:29,15.04,-93.843,35,6.3,"OFFSHORE, CHIAPAS,",MEXICO,7/14/2023,09:29
6/25/2023 7:16,-24.12,-175.67,4,6.3,"SOUTH, OF",TONGA,6/25/2023,07:16
5/31/2023 2:21,-49.58,163.84,9,6.3,"AUCKLAND, ISLANDS,, N.Z.",REGION,5/31/2023,02:21
